generazione,dna,tempo,accuracy,fitness
7,"[8, 22, 3, 176]",379.8525550365448,0.7523999810218811,0.2916714183548863
7,"[6, 29, 3, 174]",416.75282287597656,0.8044000267982483,0.307037143662815
7,"[10, 22, 2, 220]",381.6790540218353,0.7788000106811523,0.30166189538314286
7,"[8, 32, 4, 256]",465.1182210445404,0.7730000019073486,0.2897775608334566
7,"[8, 22, 3, 176]",397.73165678977966,0.775600016117096,0.29835472847125105
7,"[5, 15, 3, 75]",320.7150468826294,0.7538999915122986,0.30082366017657397
7,"[6, 29, 2, 174]",389.6100699901581,0.8072999715805054,0.3116230096870805
7,"[6, 22, 3, 132]",385.00776195526123,0.7854999899864197,0.3038132898042472
7,"[6, 15, 4, 90]",388.6715929508209,0.7188000082969666,0.27757367256994414
7,"[6, 22, 3, 132]",392.4032528400421,0.7807000279426575,0.30099480119783323
7,"[6, 16, 3, 96]",336.94320797920227,0.7409999966621399,0.29316849540442824
7,"[6, 22, 2, 132]",350.192391872406,0.7720999717712402,0.3034618309897436
7,"[7, 22, 3, 154]",410.54210209846497,0.7803999781608582,0.2986196561046498
7,"[6, 22, 2, 132]",353.88779306411743,0.758899986743927,0.2977402935548937
7,"[6, 8, 4, 48]",357.52392411231995,0.5615000128746033,0.21991105215953138
7,"[8, 22, 3, 176]",441.5065619945526,0.7594000101089478,0.28711457527221934
7,"[6, 15, 3, 90]",376.2091281414032,0.7304999828338623,0.28364202218818274
7,"[5, 14, 3, 70]",344.53227376937866,0.7347000241279602,0.2895677767081103
7,"[6, 22, 3, 132]",419.164626121521,0.7397000193595886,0.2820715208441134
7,"[5, 27, 5, 135]",526.2198939323425,0.7753000259399414,0.2849145058305685
